activityId,currentSessionStarted,event,event_hashCode,event_hashcode,ext,firstSessionStarted,gameplayId,gameplayId_hashCode,name,progress,response,score,session,stored,success,target,target_hashCode,time,timestamp,type,type_hashCode,uuidv4,versionId
???,"Wed Jan 19 2000 12:05:27 GMT+0100 (Central European Standard Time)","",???,"0","[object Object]",???,"","0","","0.01","","0.01",???,"2000-01-19T11:05:27.772Z","false","","0","0.01","Wed Jan 19 2000 12:05:27 GMT+0100 (Central European Standard Time)","","0",???,""
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 16:54:20 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:51:40.205Z","5dd6b28c5187cd0095b07ee2",???,"qwerty",???,???,???,"1","2019-11-21T15:51:40.592Z",???,"level1","-1106127571",???,"Thu Nov 21 2019 16:54:20 GMT+0100 (Central European Standard Time)","level","102865796","d81f555a-7208-4653-8c2e-6eee5f8be993","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 16:55:31 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:52:51.234Z","5dd6b2d35187cd0095b07ee4",???,"carlos",???,???,???,"1","2019-11-21T15:52:51.753Z",???,"wave","3642105",???,"Thu Nov 21 2019 16:55:31 GMT+0100 (Central European Standard Time)","stage","109757182","e07b3f26-d76d-44af-9c58-18635986cdac","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 16:56:04 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:53:24.125Z","5dd6b2f45187cd0095b07ee9",???,"aitor",???,???,???,"1","2019-11-21T15:53:24.327Z",???,"level1","-1106127571",???,"Thu Nov 21 2019 16:56:04 GMT+0100 (Central European Standard Time)","level","102865796","897c1704-4ecb-4f3f-9663-ec1a96a73b07","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 16:52:32 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:49:51.923Z","5dd6b21f5187cd0095b07edf",???,"paloma",???,???,???,"1","2019-11-21T15:49:52.258Z",???,"wave","3642105",???,"Thu Nov 21 2019 16:52:32 GMT+0100 (Central European Standard Time)","stage","109757182","8eb725d9-1ed0-4b46-8bf4-6b1175334f4a","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 16:53:15 GMT+0100 (Central European Standard Time)","selected","1191572123",???,"[object Object]","2019-11-21T15:49:51.923Z","5dd6b21f5187cd0095b07edf",???,"paloma",???,"true","1","1","2019-11-21T15:50:35.445Z","false","pre","111267",???,"Thu Nov 21 2019 16:53:15 GMT+0100 (Central European Standard Time)","question","-1165870106","f742593d-026e-4186-a460-17c584bc51fb","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 16:55:31 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:52:51.234Z","5dd6b2d35187cd0095b07ee4",???,"carlos",???,???,???,"1","2019-11-21T15:52:51.753Z",???,"wave","3642105",???,"Thu Nov 21 2019 16:55:31 GMT+0100 (Central European Standard Time)","stage","109757182","b5d98117-e9f5-4b25-9134-c764d3b5ff32","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 16:56:04 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:53:24.125Z","5dd6b2f45187cd0095b07ee9",???,"aitor",???,???,???,"1","2019-11-21T15:53:24.828Z",???,"wave","3642105",???,"Thu Nov 21 2019 16:56:04 GMT+0100 (Central European Standard Time)","stage","109757182","875b520b-47b0-47bb-9bbe-48082ea60c51","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 16:58:41 GMT+0100 (Central European Standard Time)","selected","1191572123",???,"[object Object]","2019-11-21T15:49:51.923Z","5dd6b21f5187cd0095b07edf",???,"paloma",???,"(retval == (exists(a, x == i -> i)))","1","1","2019-11-21T15:56:01.192Z","false","post","3446944",???,"Thu Nov 21 2019 16:58:41 GMT+0100 (Central European Standard Time)","question","-1165870106","0fea45bb-bd4b-491b-968d-87d17583bf9b","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 17:02:52 GMT+0100 (Central European Standard Time)","selected","1191572123",???,"[object Object]","2019-11-21T15:52:51.852Z","5dd6b2d35187cd0095b07ee6",???,"juan",???,"(imp(retval, exists(a, i -> x == (a[i]))))","1","1","2019-11-21T16:00:12.251Z","false","post","3446944",???,"Thu Nov 21 2019 17:02:52 GMT+0100 (Central European Standard Time)","question","-1165870106","79dcfda3-c1cc-4e0c-ad6e-ab53480f52bd","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 17:06:14 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:49:51.923Z","5dd6b21f5187cd0095b07edf",???,"paloma",???,???,???,"2","2019-11-21T16:03:34.216Z",???,"wave","3642105",???,"Thu Nov 21 2019 17:06:14 GMT+0100 (Central European Standard Time)","stage","109757182","b5924d69-4c39-492d-a2f4-15d236841794","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 16:52:32 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:49:51.923Z","5dd6b21f5187cd0095b07edf",???,"paloma",???,???,???,"1","2019-11-21T15:49:52.257Z",???,"level1","-1106127571",???,"Thu Nov 21 2019 16:52:32 GMT+0100 (Central European Standard Time)","level","102865796","9895a1e7-4846-4392-81dd-daa751fa52d7","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 16:54:20 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:51:40.205Z","5dd6b28c5187cd0095b07ee2",???,"qwerty",???,???,???,"1","2019-11-21T15:51:40.592Z",???,"wave","3642105",???,"Thu Nov 21 2019 16:54:20 GMT+0100 (Central European Standard Time)","stage","109757182","c4ce8095-b013-4aa3-87e8-df7b5df99ee0","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 16:55:31 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:52:51.234Z","5dd6b2d35187cd0095b07ee4",???,"carlos",???,???,???,"1","2019-11-21T15:52:51.753Z",???,"level1","-1106127571",???,"Thu Nov 21 2019 16:55:31 GMT+0100 (Central European Standard Time)","level","102865796","3c5010f5-0207-4676-b132-bb9fb7c2e8d1","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 16:55:32 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:52:51.852Z","5dd6b2d35187cd0095b07ee6",???,"juan",???,???,???,"1","2019-11-21T15:52:52.257Z",???,"level1","-1106127571",???,"Thu Nov 21 2019 16:55:32 GMT+0100 (Central European Standard Time)","level","102865796","8cf049a6-f928-4598-913b-0fa06101d604","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 16:59:28 GMT+0100 (Central European Standard Time)","selected","1191572123",???,"[object Object]","2019-11-21T15:53:24.125Z","5dd6b2f45187cd0095b07ee9",???,"aitor",???,"(a != (null))","0","1","2019-11-21T15:56:47.803Z","true","pre","111267",???,"Thu Nov 21 2019 16:59:28 GMT+0100 (Central European Standard Time)","question","-1165870106","de28694e-00b6-4189-9d66-31ea4c887d81","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 17:02:46 GMT+0100 (Central European Standard Time)","completed","-1402931637",???,"[object Object]","2019-11-21T15:49:51.923Z","5dd6b21f5187cd0095b07edf",???,"paloma",???,???,"1","1","2019-11-21T16:00:06.236Z","true","wave","3642105",???,"Thu Nov 21 2019 17:02:46 GMT+0100 (Central European Standard Time)","stage","109757182","183ca1ea-273d-4647-ab4f-6f5113eae5cf","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 17:03:36 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:52:51.852Z","5dd6b2d35187cd0095b07ee6",???,"juan",???,???,???,"1","2019-11-21T16:00:56.352Z",???,"wave","3642105",???,"Thu Nov 21 2019 17:03:36 GMT+0100 (Central European Standard Time)","stage","109757182","06141b01-0787-4b40-9405-6de826007b01","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 17:05:42 GMT+0100 (Central European Standard Time)","selected","1191572123",???,"[object Object]","2019-11-21T15:52:51.852Z","5dd6b2d35187cd0095b07ee6",???,"juan",???,"(imp(retval == (true), exists(a, i -> x == (a[i]))))","1","1","2019-11-21T16:03:02.140Z","false","post","3446944",???,"Thu Nov 21 2019 17:05:42 GMT+0100 (Central European Standard Time)","question","-1165870106","a4e51219-54ca-4f44-be95-1e6e8d9e89bc","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 16:59:09 GMT+0100 (Central European Standard Time)","selected","1191572123",???,"[object Object]","2019-11-21T15:52:51.852Z","5dd6b2d35187cd0095b07ee6",???,"juan",???,"(a != (null))","0","1","2019-11-21T15:56:29.260Z","true","pre","111267",???,"Thu Nov 21 2019 16:59:09 GMT+0100 (Central European Standard Time)","question","-1165870106","544b670f-c377-47b0-bba4-d4f648d18984","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 17:02:46 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:49:51.923Z","5dd6b21f5187cd0095b07edf",???,"paloma",???,???,???,"1","2019-11-21T16:00:06.236Z",???,"wave","3642105",???,"Thu Nov 21 2019 17:02:46 GMT+0100 (Central European Standard Time)","stage","109757182","ab66cf96-13f0-45f3-af95-d4bd4e521f99","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 17:05:59 GMT+0100 (Central European Standard Time)","completed","-1402931637",???,"[object Object]","2019-11-21T15:52:51.852Z","5dd6b2d35187cd0095b07ee6",???,"juan",???,???,"1","1","2019-11-21T16:03:19.694Z","true","wave","3642105",???,"Thu Nov 21 2019 17:05:59 GMT+0100 (Central European Standard Time)","stage","109757182","5a390f58-2aa2-4b31-9b8e-bf63448de93c","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 17:06:14 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:49:51.923Z","5dd6b21f5187cd0095b07edf",???,"paloma",???,???,???,"2","2019-11-21T16:03:34.215Z",???,"level1","-1106127571",???,"Thu Nov 21 2019 17:06:14 GMT+0100 (Central European Standard Time)","level","102865796","c10aef8b-a944-4174-b734-a34eabc62eec","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 17:08:47 GMT+0100 (Central European Standard Time)","selected","1191572123",???,"[object Object]","2019-11-21T15:53:24.125Z","5dd6b2f45187cd0095b07ee9",???,"aitor",???,"true","1","1","2019-11-21T16:06:07.576Z","false","post","3446944",???,"Thu Nov 21 2019 17:08:47 GMT+0100 (Central European Standard Time)","question","-1165870106","17200dee-c7e2-433d-9570-d85fd9ddea60","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 16:52:32 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:49:51.923Z","5dd6b21f5187cd0095b07edf",???,"paloma",???,???,???,"1","2019-11-21T15:49:52.845Z",???,"wave","3642105",???,"Thu Nov 21 2019 16:52:32 GMT+0100 (Central European Standard Time)","stage","109757182","1f31ac32-27c5-41f1-bcf5-99df34f7a3de","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 16:54:20 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:51:40.205Z","5dd6b28c5187cd0095b07ee2",???,"qwerty",???,???,???,"1","2019-11-21T15:51:40.592Z",???,"wave","3642105",???,"Thu Nov 21 2019 16:54:20 GMT+0100 (Central European Standard Time)","stage","109757182","7d59789c-4190-4db7-b60b-fa7974cd2210","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 16:54:21 GMT+0100 (Central European Standard Time)","selected","1191572123",???,"[object Object]","2019-11-21T15:49:51.923Z","5dd6b21f5187cd0095b07edf",???,"paloma",???,"(a != (null))","0","1","2019-11-21T15:51:41.098Z","true","pre","111267",???,"Thu Nov 21 2019 16:54:21 GMT+0100 (Central European Standard Time)","question","-1165870106","2bc4e53f-61a5-4b6b-8ff8-4a154642090b","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 16:55:32 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:52:51.852Z","5dd6b2d35187cd0095b07ee6",???,"juan",???,???,???,"1","2019-11-21T15:52:52.258Z",???,"wave","3642105",???,"Thu Nov 21 2019 16:55:32 GMT+0100 (Central European Standard Time)","stage","109757182","ab43fd96-38d9-4950-a198-6160701cf827","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 16:55:32 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:52:51.852Z","5dd6b2d35187cd0095b07ee6",???,"juan",???,???,???,"1","2019-11-21T15:52:52.258Z",???,"wave","3642105",???,"Thu Nov 21 2019 16:55:32 GMT+0100 (Central European Standard Time)","stage","109757182","8b14566b-e834-47e9-a16a-d9f1a8cd3590","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 16:56:04 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:53:24.125Z","5dd6b2f45187cd0095b07ee9",???,"aitor",???,???,???,"1","2019-11-21T15:53:24.327Z",???,"wave","3642105",???,"Thu Nov 21 2019 16:56:04 GMT+0100 (Central European Standard Time)","stage","109757182","c76c71e0-fe6d-425e-a8ae-d3f8466e00bd","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 16:58:23 GMT+0100 (Central European Standard Time)","selected","1191572123",???,"[object Object]","2019-11-21T15:52:51.234Z","5dd6b2d35187cd0095b07ee4",???,"carlos",???,"true","1","1","2019-11-21T15:55:43.652Z","false","pre","111267",???,"Thu Nov 21 2019 16:58:23 GMT+0100 (Central European Standard Time)","question","-1165870106","aa6e4a75-732c-4b46-8682-c91d6d5eb079","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 16:59:06 GMT+0100 (Central European Standard Time)","selected","1191572123",???,"[object Object]","2019-11-21T15:49:51.923Z","5dd6b21f5187cd0095b07edf",???,"paloma",???,"(retval == (exists(a, i -> x == i)))","1","1","2019-11-21T15:56:26.753Z","false","post","3446944",???,"Thu Nov 21 2019 16:59:06 GMT+0100 (Central European Standard Time)","question","-1165870106","1f29e96a-0bc5-40d6-b3a2-82f80bc8fcd2","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 16:59:29 GMT+0100 (Central European Standard Time)","completed","-1402931637",???,"[object Object]","2019-11-21T15:49:51.923Z","5dd6b21f5187cd0095b07edf",???,"paloma",???,???,"1","1","2019-11-21T15:56:48.804Z","true","wave","3642105",???,"Thu Nov 21 2019 16:59:29 GMT+0100 (Central European Standard Time)","stage","109757182","173b6ab4-f40a-47aa-87c1-9ec71f6efbbf","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 16:59:29 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:49:51.923Z","5dd6b21f5187cd0095b07edf",???,"paloma",???,???,???,"1","2019-11-21T15:56:48.804Z",???,"wave","3642105",???,"Thu Nov 21 2019 16:59:29 GMT+0100 (Central European Standard Time)","stage","109757182","0b733f34-f976-4393-a965-0d1d7dc04abd","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 17:03:36 GMT+0100 (Central European Standard Time)","completed","-1402931637",???,"[object Object]","2019-11-21T15:52:51.852Z","5dd6b2d35187cd0095b07ee6",???,"juan",???,???,"1","1","2019-11-21T16:00:56.351Z","true","wave","3642105",???,"Thu Nov 21 2019 17:03:36 GMT+0100 (Central European Standard Time)","stage","109757182","351c1cdd-27bf-4908-b95b-4937f51f05ac","5c613b4dcf73440078c85032"
"5dd18deb5187cd0095b07ea3","Thu Nov 21 2019 17:05:59 GMT+0100 (Central European Standard Time)","initialized","1234020052",???,"[object Object]","2019-11-21T15:52:51.852Z","5dd6b2d35187cd0095b07ee6",???,"juan",???,???,???,"1","2019-11-21T16:03:19.695Z",???,"wave","3642105",???,"Thu Nov 21 2019 17:05:59 GMT+0100 (Central European Standard Time)","stage","109757182","4bf19a2b-d9b3-4469-b866-2f1cf4f3400e","5c613b4dcf73440078c85032"
